ἀ,ἀ
ἁ,ἁ
ἂ,ἂ
ἃ,ἃ
ἄ,ἄ
ἅ,ἅ
ἆ,ἆ
ἇ,ἇ
Ἀ,Ἀ
Ἁ,Ἁ
Ἂ,Ἂ
Ἃ,Ἃ
Ἄ,Ἄ
Ἅ,Ἅ
Ἆ,Ἆ
Ἇ,Ἇ
ἐ,ἐ
ἑ,ἑ
ἒ,ἒ
ἓ,ἓ
ἔ,ἔ
ἕ,ἕ
Ἐ,Ἐ
Ἑ,Ἑ
Ἒ,Ἒ
Ἓ,Ἓ
Ἔ,Ἔ
Ἕ,Ἕ
ἠ,ἠ
ἡ,ἡ
ἢ,ἢ
ἣ,ἣ
ἤ,ἤ
ἥ,ἥ
ἦ,ἦ
ἧ,ἧ
Ἠ,Ἠ
Ἡ,Ἡ
Ἢ,Ἢ
Ἣ,Ἣ
Ἤ,Ἤ
Ἥ,Ἥ
Ἦ,Ἦ
Ἧ,Ἧ
ἰ,ἰ
ἱ,ἱ
ἲ,ἲ
ἳ,ἳ
ἴ,ἴ
ἵ,ἵ
ἶ,ἶ
ἷ,ἷ
Ἰ,Ἰ
Ἱ,Ἱ
Ἲ,Ἲ
Ἳ,Ἳ
Ἴ,Ἴ
Ἵ,Ἵ
Ἶ,Ἶ
Ἷ,Ἷ
ὀ,ὀ
ὁ,ὁ
ὂ,ὂ
ὃ,ὃ
ὄ,ὄ
ὅ,ὅ
Ὀ,Ὀ
Ὁ,Ὁ
Ὂ,Ὂ
Ὃ,Ὃ
Ὄ,Ὄ
Ὅ,Ὅ
ὐ,ὐ
ὑ,ὑ
ὒ,ὒ
ὓ,ὓ
ὔ,ὔ
ὕ,ὕ
ὖ,ὖ
ὗ,ὗ
Ὑ,Ὑ
Ὓ,Ὓ
Ὕ,Ὕ
Ὗ,Ὗ
ὠ,ὠ
ὡ,ὡ
ὢ,ὢ
ὣ,ὣ
ὤ,ὤ
ὥ,ὥ
ὦ,ὦ
ὧ,ὧ
Ὠ,Ὠ
Ὡ,Ὡ
Ὢ,Ὢ
Ὣ,Ὣ
Ὤ,Ὤ
Ὥ,Ὥ
Ὦ,Ὦ
Ὧ,Ὧ
ὰ,ὰ
ά,ά
ὲ,ὲ
έ,έ
ὴ,ὴ
ή,ή
ὶ,ὶ
ί,ί
ὸ,ὸ
ό,ό
ὺ,ὺ
ύ,ύ
ὼ,ὼ
ώ,ώ
ᾶ,ᾶ
Ὰ,Ὰ
Ά,Ά
ῆ,ῆ
Ὲ,Ὲ
Έ,Έ
Ὴ,Ὴ
Ή,Ή
ῒ,ῒ
ΐ,ΐ
ῖ,ῖ
Ὶ,Ὶ
Ί,Ί
ῢ,ῢ
ΰ,ΰ
ῤ,ῤ
ῥ,ῥ
ῦ,ῦ
ῧ,ῧ
Ὺ,Ὺ
Ύ,Ύ
Ῥ,Ρ̀
ῶ,ῶ
Ὸ,Ὸ
Ό,Ό
Ὼ,Ὼ
Ώ,Ώ